"url","field","value"
"http://asiasentinel.com ","text","asia sentinel"
"http://asiasentinel.com ","username","@asiasentinel"
"http://bitly.com","text","bitly"
"http://bitly.com","username","@bitly"
"http://bitly.com","hashtag","#bitly"
"http://boston.com","username","@BostonDotCom"
"http://dropbox.com","text","dropbox"
"http://dropbox.com","username","@Dropbox"
"http://dropbox.com","hashtag","#dropbox"
"http://facebook.com","text","facebook"
"http://facebook.com","text","fb"
"http://facebook.com","username","@facebook"
"http://facebook.com","hashtag","#facebook"
"http://facebook.com","hashtag","#fb"
"http://flickr.com","text","flickr"
"http://flickr.com","username","@flickr"
"http://flickr.com","hashtag","#flickr"
"http://grooveshark.com","text","grooveshark"
"http://grooveshark.com","username","@Grooveshark"
"http://grooveshark.com","username","@GroovesharkHelp"
"http://grooveshark.com","hashtag","#grooveshark"
"http://herdict.org","text","herdict"
"http://herdict.org","username","@herdict"
"http://herdict.org","username","@herdictreport"
"http://microsoft.com","text","microsoft"
"http://microsoft.com","text","ms"
"http://microsoft.com","text","m$"
"http://microsoft.com","username","@Microsoft"
"http://microsoft.com","hashtag","#microsoft"
"http://mininova.org","text","mininova"
"http://mininova.org","username","@mininova"
"http://mininova.org","hashtag","#mininova"
"http://orkut.com","text","orkut"
"http://technorati.com","text","technorati"
"http://technorati.com","username","@technorati"
"http://technorati.com","hashtag","#technorati"
"http://tinyurl.com","text","tinyurl"
"http://tinyurl.com","username","@TinyURL"
"http://tumblr.com","text","tumblr"
"http://tumblr.com","username","@tumblr"
"http://tumblr.com","hashtag","#tumblr"
"http://twitter.com","text","twitter"
"http://twitter.com","username","@twitter"
"http://twitter.com","hashtag","#twitter"
"http://vimeo.com","text","vimeo"
"http://vimeo.com","username","@Vimeo"
"http://vimeo.com","hashtag","#vimeo"
"http://wikileaks.org","text","wikileaks"
"http://wikileaks.org","username","@wikileaks"
"http://wikileaks.org","hashtag","#wikileaks"
"http://wordpress.org","text","wordpress"
"http://wordpress.org","username","@WordPress"
"http://wordpress.org","hashtag","#WordPress"
"http://www.4chan.org ","text","4chan"
"http://www.4chan.org ","username","@4chan"
"http://www.4chan.org ","hashtag","#4chan"
"http://www.abc.net.au/","username","@abcaustralia"
"http://www.amazon.com","text","amazon"
"http://www.amazon.com","username","@amazon"
"http://www.amazon.com","hashtag","#Amazon"
"http://www.amnesty.org","text","amnesty"
"http://www.amnesty.org","text","amnesty international"
"http://www.amnesty.org","username","@AmnestyOnline"
"http://www.amnesty.org","hashtag","#Amnesty"
"http://www.arabtimes.com","text","arabtimes"
"http://www.baidu.com/","text","baidu"
"http://www.bbc.co.uk/news","text","bbc"
"http://www.bbc.co.uk/news","username","@bbcnews"
"http://www.bbc.co.uk/news","username","@bbcworld"
"http://www.bbc.co.uk/news","username","@bbcbreaking"
"http://www.bbc.co.uk/news","hashtag","#bbc"
"http://www.bing.com/","text","bing"
"http://www.bing.com/","username","@bing"
"http://www.bing.com/","hashtag","#bing"
"http://www.blogger.com","username","@Blogger"
"http://www.cnn.com","text","cnn"
"http://www.cnn.com","username","@CNN"
"http://www.cnn.com","hashtag","#cnn"
"http://www.demonoid.com","text","demonoid"
"http://www.demonoid.com","username","#demonoid"
"http://www.economist.com","text","economist"
"http://www.economist.com","username","@TheEconomist"
"http://www.ft.com","text","financial times"
"http://www.ft.com","text","ft"
"http://www.ft.com","username","@FinancialTimes"
"http://www.ft.com","hashtag","#ft"
"http://www.gamil.com","hashtag","#gmail"
"http://www.gmail.com","text","gmail"
"http://www.gmail.com","username","@gmail"
"http://www.google.com","text","google"
"http://www.google.com","username","@google"
"http://www.google.com","hashtag","#google"
"http://www.hotmail.com","text","hotmail"
"http://www.hotmail.com","hashtag","#hotmail"
"http://www.huffingtonpost.com","text","huffington post"
"http://www.huffingtonpost.com","text","huffpo"
"http://www.huffingtonpost.com","username","@HuffingtonPost"
"http://www.huffingtonpost.com","hashtag","#huffpo"
"http://www.imdb.com","text","imdb"
"http://www.imdb.com","username","@IMDb"
"http://www.imdb.com","username","@IMDbLive"
"http://www.imdb.com","hashtag","#IMDb"
"http://www.linkedin.com","text","linkedin"
"http://www.linkedin.com","username","@LinkedIn"
"http://www.linkedin.com","hashtag","#linkedin"
"http://www.metacafe.com","text","metacafe"
"http://www.metacafe.com","username","@Metacafe"
"http://www.myspace.com","text","myspace"
"http://www.myspace.com","username","@Myspace"
"http://www.npr.org","text","national public radio"
"http://www.npr.org","text","npr"
"http://www.npr.org","username","@nprnews"
"http://www.npr.org","hashtag","#npr"
"http://www.nytimes.com","text","new york times"
"http://www.nytimes.com","username","@NYTimes"
"http://www.nytimes.com","hashtag","#nytimes"
"http://www.nytimes.com","hashtag","#nyt"
"http://www.peacefire.org","text","peacefire"
"http://www.rfa.org/","text","rfa"
"http://www.rfa.org/","username","@radiofreeasia"
"http://www.scribd.com","text","scribd"
"http://www.scribd.com","username","@Scribd"
"http://www.skype.com","text","skype"
"http://www.skype.com","username","@Skype"
"http://www.skype.com","hashtag","#skype"
"http://www.stumbleupon.com","text","stumbleupon"
"http://www.stumbleupon.com","username","@StumbleUpon"
"http://www.stumbleupon.com","username","@StumbleUponHelp"
"http://www.stumbleupon.com","hashtag","#StumbleUpon"
"http://www.stumbleupon.com","hashtag","#StumbleUponAddicts"
"http://www.thepiratebay.se","text","the pirate bay"
"http://www.thepiratebay.se","text","tpb"
"http://www.thepiratebay.se","username","@tpb"
"http://www.thepiratebay.se","username","@tpbdotorg"
"http://www.thepiratebay.se","hashtag","#tpb"
"http://www.volkskrant.nl","text","volkskrant"
"http://www.volkskrant.nl","username","@volkskrant"
"http://www.wikipedia.org","text","wikipedia"
"http://www.wikipedia.org","username","@Wikipedia"
"http://www.wikipedia.org","hashtag","#Wikipedia"
"http://www.yahoo.com","text","yahoo"
"http://www.yahoo.com","username","@Yahoo"
"http://www.yahoo.com","username","@YahooCare"
"http://www.yahoo.com","username","@YahooInc"
"http://www.yahoo.com","hashtag","#yahoo"
"http://www.youtube.com","text","youtube"
"http://www.youtube.com","username","@youtube"
"http://www.youtube.com","hashtag","#youtube"
"http://www.youtube.com","hashtag","#yt"
"https://foursquare.com","text","foursquare"
"https://foursquare.com","text","4sq"
"https://foursquare.com","username","@4sqsupport"
"https://foursquare.com","username","@foursquare"
